250	1	4	883263374
731	1	2	886184421
450	1	4	887835272
216	1	4	880232615
761	1	1	876190094
311	1	4	884963202
479	1	5	879459939
805	1	4	881695527
622	1	3	882590344
73	1	2	888626065
665	1	4	884290491
292	1	4	881104147
168	1	5	884287509
684	1	4	875810928
64	1	4	879366214
178	1	4	882823805
201	1	3	884113635
148	1	4	877019411
789	1	3	880332089
823	1	4	878438206
210	1	5	887731052
746	1	4	885075714
721	1	5	877137877
532	1	5	893119335
387	1	4	886480681
223	1	4	891549324
815	1	5	878691975
747	1	5	888639138
767	1	5	891462829
650	1	3	891369759
806	1	4	882385082
83	1	4	880306903
242	1	4	879740362
286	1	4	876521699
79	1	4	891271870
70	1	4	884065277
96	1	5	884403574
89	1	5	879461219
38	1	5	892430636
275	1	4	875154310
6	1	4	883599478
41	1	4	890692860
347	1	4	881652518
764	1	4	876244181
660	1	3	891406276
13	1	3	882140487
330	1	5	876544432
374	1	4	880392992
174	1	3	886433898
290	1	5	880474327
340	1	5	884990988
768	1	5	883835025
312	1	5	891698832
75	1	4	884050018
541	1	4	883874645
403	1	4	879785974
194	1	4	879539127
447	1	3	878854273
606	1	5	878148365
614	1	5	879464093
363	1	2	891494563
678	1	5	879544882
360	1	3	880354315
102	1	3	883748352
454	1	3	881959818
234	1	3	891227689
298	1	5	884126061
723	1	3	880499050
338	1	3	879438143
184	1	4	889907652
45	1	5	881013176
661	1	5	876016545
703	1	4	875242851
322	1	2	887314119
487	1	5	883443504
788	1	3	880867970
716	1	5	879793192
658	1	4	875145614
838	1	5	887064024
54	1	4	880931595
49	1	2	888068651
749	1	4	881602577
247	1	4	893097024
58	1	5	884304483
435	1	5	884131712
483	1	4	878950971
117	1	4	880126083
636	1	3	891448229
536	1	5	882318394
20	1	3	879667963
325	1	2	891478665
252	1	5	891456989
62	1	2	879372813
542	1	4	886532534
235	1	4	889655571
26	1	3	891350625
756	1	4	874826629
561	1	2	885807713
125	1	4	879454699
388	1	5	886436813
137	1	3	881433048
274	1	4	878945466
602	1	4	888638547
380	1	4	885478218
567	1	3	882426899
792	1	4	877910822
493	1	3	884130416
244	1	4	880604405
709	1	4	879847730
72	1	4	880035614
679	1	3	884487688
508	1	5	883777430
613	1	4	891227410
429	1	3	882385785
648	1	5	882211109
1	1	5	874965758
379	1	4	883156176
706	1	4	880997324
299	1	3	877877535
843	1	3	879446186
10	1	4	877888877
393	1	3	887743611
276	1	5	874786568
654	1	4	887863557
763	1	4	878915559
457	1	4	882393244
365	1	4	891303999
65	1	3	879217290
490	1	3	875427148
17	1	4	885272579
265	1	5	875320247
727	1	3	883708660
425	1	2	878737873
402	1	5	876266860
