1|0|5|4
2|0|1|3
3|1|1|4
4|2|2|4
5|2|2|4
6|2|2|4
7|2|2|4
8|2|2|4
9|3|2|5
10|4|1|3
11|4|1|3
12|5|6|3
13|6|1|4
14|7|2|5
15|7|2|4
16|7|3|4
17|7|2|4
18|7|1|4
19|7|1|2
20|7|1|3
21|8|1|3
22|8|2|2
23|8|2|4
24|8|2|5
25|8|2|5
26|9|2|4
27|10|1|5
28|10|1|5
29|10|1|5
30|10|3|4
31|10|1|5
32|10|1|5
33|10|1|4
34|10|1|3
35|10|1|4
36|10|1|2
37|10|10|4
38|10|3|4
39|10|3|4
40|10|1|5
41|10|1|5
42|10|1|4
43|10|1|4
44|10|2|4
45|10|1|4
46|10|1|5
47|10|1|3
48|10|1|4
49|10|1|4
50|10|1|4
51|10|2|3
52|10|1|3
53|10|1|5
54|10|1|4
55|10|1|4
56|10|1|4
57|10|1|4
58|10|4|5
59|10|1|5
60|10|1|4
61|10|1|2
62|10|2|4
63|10|1|3
64|10|2|4
65|10|1|4
66|10|3|2
67|10|1|3
68|10|2|4
69|10|1|4
70|10|5|4
71|10|2|4
72|10|1|4
73|10|2|4
74|10|2|4
75|10|2|4
76|10|1|3
77|10|2|4
78|10|1|3
79|10|1|4
80|10|2|1
81|10|1|3
82|10|1|4
83|10|1|4
84|10|1|3
85|10|1|3
86|10|4|3
87|10|2|4
88|10|2|4
89|10|1|4
90|10|1|4
91|10|1|4
92|10|1|3
93|10|2|4
94|10|1|3
95|10|1|3
96|10|2|4
97|10|1|4
98|10|1|3
99|10|1|4
100|10|1|3
101|10|1|4
102|10|2|4
103|10|1|4
104|10|1|4
105|10|3|5
106|10|1|4
107|10|2|5
108|10|2|5
109|10|1|3
110|10|1|3
111|10|1|2
112|10|1|4
113|10|1|3
114|11|2|4
115|11|1|4
116|11|1|3
117|12|2|3
118|13|1|4
119|13|2|5
120|14|1|4
121|15|1|3
122|16|1|4
123|17|2|5
124|18|3|5
125|19|1|5
126|19|2|4
127|20|3|5
128|21|1|4
129|22|3|5
130|23|4|3
131|24|1|3
132|25|3|4
133|25|2|4
134|25|2|4
135|26|1|5
136|26|2|5
137|27|5|4
138|29|1|4
139|30|2|5
140|30|2|4
141|30|1|4
142|31|1|4
143|31|1|5
144|31|1|4
145|31|1|4
146|32|4|5
147|32|3|5
148|32|5|5
149|32|1|5
150|32|2|4
151|32|1|5
152|32|1|4
153|32|1|4
154|32|1|4
155|32|1|4
156|32|1|4
157|32|1|3
158|32|2|4
159|32|1|5
160|32|2|4
161|32|1|4
162|32|1|4
163|32|2|4
164|32|1|4
165|32|2|5
166|32|1|4
167|32|1|3
168|32|1|5
169|32|1|4
170|32|3|5
171|32|1|4
172|32|1|14
173|32|1|5
174|32|3|1
175|33|3|4
176|34|2|4
177|35|4|4
178|35|3|5
179|36|2|4
180|36|2|5
181|37|1|4
182|38|1|4
183|39|1|4
184|39|1|4
185|39|1|4
186|39|2|4
187|39|2|4
188|39|1|4
189|40|2|5
190|40|4|4
191|40|1|5
192|40|2|3
193|40|1|5
194|40|5|4
195|40|4|5
196|40|1|5
197|40|1|5
198|40|2|4
199|40|1|5
200|40|2|5
201|40|5|4
202|40|1|4
203|40|1|4
204|40|6|4
205|40|2|4
206|40|2|5
207|40|2|4
208|40|1|3
209|40|2|4
210|40|2|4
211|40|2|4
212|40|1|4
213|40|1|5
214|40|4|5
215|40|2|5
216|40|1|4
217|40|2|4
218|40|2|4
219|40|2|4
220|40|2|4
221|40|1|5
222|40|1|4
223|40|2|4
224|40|1|5
225|40|1|5
226|40|1|3
227|40|1|5
228|40|2|5
229|40|1|4
230|40|1|5
231|40|1|5
232|40|2|5
233|40|2|4
234|40|2|4
235|40|3|4
236|40|2|4
237|40|3|4
238|40|1|4
239|40|3|4
240|40|1|2
241|40|2|2
242|40|1|4
243|40|1|5
244|40|2|3
245|40|2|4
246|40|1|4
247|40|2|5
248|41|2|4
249|42|2|4
250|42|1|4
251|42|2|5
252|43|2|4
253|44|1|4
254|45|1|3
255|46|1|4
256|46|2|4
257|47|2|5
258|47|2|4
259|47|2|5
260|47|2|4
261|48|2|4
262|49|2|3
263|49|2|4
264|49|2|4
265|49|1|4
